time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 18:08:14,webcam#96,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0593
2026-09-14 18:08:14,webcam#97,frame,opencv,1280,720,143.8,146.4,2.6,51.1,0.0232
2026-09-14 18:08:14,webcam#98,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0246
2026-09-14 18:08:14,webcam#99,frame,opencv,1280,720,143.8,146.4,2.6,48.9,0.0252
2026-09-14 18:08:14,webcam#100,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0406
2026-09-14 18:08:14,webcam#101,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0252
2026-09-14 18:08:14,webcam#102,frame,opencv,1280,720,143.8,146.4,2.6,154.9,0.0028
2026-09-14 18:08:14,webcam#103,frame,opencv,1280,720,143.8,146.4,2.6,70.5,0.0153
2026-09-14 18:08:14,webcam#104,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0266
2026-09-14 18:08:14,webcam#105,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0237
2026-09-14 18:08:14,webcam#106,frame,opencv,1280,720,143.8,146.4,2.6,49.9,0.0241
2026-09-14 18:08:14,webcam#107,frame,opencv,1280,720,143.8,146.4,2.6,47.5,0.0261
2026-09-14 18:08:14,webcam#108,frame,opencv,1280,720,143.8,146.4,2.6,24.7,0.056
2026-09-14 18:08:14,webcam#109,frame,opencv,1280,720,143.8,146.4,2.6,94.9,0.0264
2026-09-14 18:08:14,webcam#110,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0251
2026-09-14 18:08:14,webcam#111,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0229
2026-09-14 18:08:15,webcam#112,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0256
2026-09-14 18:08:15,webcam#113,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0245
2026-09-14 18:08:15,webcam#114,frame,opencv,1280,720,143.8,146.5,2.7,32.7,0.0396
2026-09-14 18:08:15,webcam#115,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0247
2026-09-14 18:08:15,webcam#116,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0022
2026-09-14 18:08:15,webcam#117,frame,opencv,1280,720,143.8,146.5,2.7,134.8,0.0154
2026-09-14 18:08:15,webcam#118,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0247
2026-09-14 18:08:15,webcam#119,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0256
2026-09-14 18:08:15,webcam#120,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0565
2026-09-14 18:08:15,webcam#121,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0247
2026-09-14 18:08:15,webcam#122,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.0256
2026-09-14 18:08:15,webcam#123,frame,opencv,1280,720,143.8,146.5,2.7,50.1,0.0245
2026-09-14 18:08:15,webcam#124,frame,opencv,1280,720,143.8,146.5,2.7,0.0,0.026
2026-09-14 18:08:15,webcam#125,frame,opencv,1280,720,143.8,146.5,2.7,49.0,0.0252
2026-09-14 18:08:15,webcam#126,frame,opencv,1280,720,143.8,146.5,2.7,47.4,0.0264
2026-09-14 18:08:15,webcam#127,frame,opencv,1280,720,143.8,146.5,2.7,50.6,0.0244
2026-09-14 18:08:15,webcam#128,frame,opencv,1280,720,143.8,146.5,2.7,32.7,0.0412
